epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4243.51,0.44526,0.37776,0.84742,0.93473,0.91198,0.96974,0.87322,0.71881,0.68224,1.02177,0.00132868,0.00132868,0.00132868
43,4339.91,0.46918,0.39354,0.85266,0.95022,0.90065,0.97096,0.87142,0.74818,0.69406,1.04133,0.00132043,0.00132043,0.00132043
44,4437.21,0.46447,0.37953,0.84581,0.92071,0.90431,0.96346,0.84642,0.77697,0.76378,1.04563,0.00131218,0.00131218,0.00131218
45,4539.5,0.48142,0.38702,0.84832,0.92533,0.92868,0.96715,0.86327,0.7473,0.71385,1.0252,0.00130393,0.00130393,0.00130393
46,4637.18,0.48487,0.39161,0.86163,0.94576,0.93377,0.97478,0.87623,0.71461,0.63691,1.01726,0.00129568,0.00129568,0.00129568
47,4733.29,0.4548,0.37144,0.84973,0.94279,0.92494,0.96877,0.87287,0.7126,0.68168,1.01226,0.00128742,0.00128742,0.00128742
48,4830.72,0.46459,0.37572,0.84929,0.93537,0.92377,0.97125,0.87614,0.7426,0.68774,1.02331,0.00127917,0.00127917,0.00127917
49,4925.71,0.43455,0.35944,0.8474,0.95273,0.91275,0.96726,0.8667,0.72545,0.68934,1.01445,0.00127092,0.00127092,0.00127092
50,5022.38,0.42861,0.34986,0.8403,0.93982,0.92518,0.96985,0.86557,0.75665,0.6761,1.04005,0.00126267,0.00126267,0.00126267
51,5118.52,0.46374,0.37425,0.85458,0.94885,0.92292,0.97478,0.86719,0.74263,0.66016,1.0253,0.00125442,0.00125442,0.00125442
52,5218,0.4564,0.36627,0.84979,0.94198,0.92571,0.97016,0.88226,0.71338,0.65996,1.01815,0.00124617,0.00124617,0.00124617
53,5314.36,0.41506,0.34281,0.84526,0.94817,0.91292,0.96864,0.87733,0.69823,0.6914,1.00605,0.00123791,0.00123791,0.00123791
54,5413.76,0.43999,0.35518,0.84486,0.94259,0.91281,0.96604,0.87321,0.72631,0.67692,1.03054,0.00122966,0.00122966,0.00122966
55,5511.72,0.424,0.35134,0.83983,0.95031,0.91452,0.96727,0.87773,0.70643,0.69159,1.02535,0.00122141,0.00122141,0.00122141
56,5608.73,0.38641,0.32497,0.83584,0.93595,0.93729,0.97524,0.88602,0.70067,0.62992,1.01526,0.00121316,0.00121316,0.00121316
57,5705.72,0.40708,0.33854,0.83557,0.94113,0.90375,0.96601,0.87731,0.71856,0.71087,1.01859,0.00120491,0.00120491,0.00120491
58,5803.07,0.38258,0.32357,0.83307,0.94561,0.91727,0.96884,0.8811,0.71686,0.67531,1.03089,0.00119666,0.00119666,0.00119666
59,5900.93,0.41923,0.34465,0.84099,0.93347,0.93417,0.97264,0.88079,0.72707,0.64827,1.02333,0.0011884,0.0011884,0.0011884
60,5999.97,0.42123,0.34605,0.83937,0.94602,0.92114,0.96943,0.88476,0.71453,0.70062,1.01213,0.00118015,0.00118015,0.00118015
61,6097.25,0.38806,0.32295,0.8325,0.93447,0.93125,0.966,0.87723,0.71197,0.70455,1.02332,0.0011719,0.0011719,0.0011719
62,6195.63,0.3926,0.3259,0.83671,0.95246,0.90616,0.96475,0.87667,0.7155,0.73543,1.03131,0.00116365,0.00116365,0.00116365
63,6293.42,0.4161,0.33875,0.84076,0.93256,0.93538,0.97168,0.87694,0.74258,0.65859,1.04368,0.0011554,0.0011554,0.0011554
64,6392.42,0.42817,0.34955,0.84391,0.95128,0.91689,0.97156,0.88178,0.70626,0.64082,1.02524,0.00114715,0.00114715,0.00114715
