epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,16900.9,0.28338,0.22959,0.81274,0.95435,0.92419,0.96999,0.89743,0.63544,0.59446,1.00243,0.000272471,0.000272471,0.000272471
171,17001.9,0.2762,0.22561,0.80988,0.9543,0.92348,0.97041,0.90017,0.64048,0.61113,1.01033,0.00026422,0.00026422,0.00026422
172,17100.3,0.30326,0.24222,0.81461,0.95649,0.91951,0.96943,0.90093,0.6331,0.6141,1.00344,0.000255968,0.000255968,0.000255968
173,17199.7,0.28005,0.22749,0.81131,0.95323,0.92659,0.96868,0.89839,0.63132,0.58496,1.00155,0.000247716,0.000247716,0.000247716
174,17298.4,0.27888,0.22886,0.81287,0.95428,0.92289,0.97034,0.89912,0.6343,0.59741,1.00209,0.000239465,0.000239465,0.000239465
175,17397.8,0.27193,0.22224,0.80907,0.95255,0.92776,0.97066,0.90138,0.63687,0.60848,0.99645,0.000231213,0.000231213,0.000231213
176,17502.4,0.30836,0.23934,0.81124,0.94842,0.92317,0.97103,0.9022,0.62993,0.59505,0.98547,0.000222961,0.000222961,0.000222961
177,17602,0.2625,0.21738,0.804,0.95973,0.92115,0.97187,0.90162,0.62568,0.58091,0.98645,0.00021471,0.00021471,0.00021471
178,17699.5,0.27686,0.22533,0.81424,0.94955,0.934,0.97051,0.90112,0.61455,0.58517,0.98311,0.000206458,0.000206458,0.000206458
179,17794.6,0.28615,0.23151,0.81293,0.94686,0.93672,0.97006,0.90078,0.62586,0.60327,0.98527,0.000198206,0.000198206,0.000198206
180,17895.2,0.26927,0.22162,0.81382,0.95412,0.92748,0.97181,0.90141,0.61934,0.5934,0.98382,0.000189955,0.000189955,0.000189955
181,17991.9,0.27659,0.22683,0.8117,0.95469,0.93094,0.9711,0.89989,0.62466,0.58263,0.99218,0.000181703,0.000181703,0.000181703
182,18087.9,0.29102,0.23387,0.81004,0.95713,0.92982,0.97327,0.90317,0.6185,0.5726,0.99131,0.000173451,0.000173451,0.000173451
183,18184.8,0.29749,0.23429,0.80927,0.96188,0.922,0.97328,0.9071,0.62525,0.58219,0.99956,0.0001652,0.0001652,0.0001652
184,18282.3,0.27776,0.22451,0.80595,0.95718,0.92793,0.97366,0.90703,0.61897,0.57357,0.99584,0.000156948,0.000156948,0.000156948
185,18380.6,0.27076,0.22128,0.80622,0.95631,0.92968,0.97191,0.90358,0.62257,0.56969,0.9962,0.000148696,0.000148696,0.000148696
186,18473,0.27173,0.22342,0.81215,0.95751,0.92952,0.9699,0.90115,0.62863,0.59615,0.9934,0.000140445,0.000140445,0.000140445
187,18567.2,0.27242,0.22182,0.80933,0.95358,0.92966,0.96803,0.89943,0.63642,0.61062,1.00297,0.000132193,0.000132193,0.000132193
188,18664.2,0.26694,0.21783,0.80455,0.95617,0.9315,0.97045,0.90398,0.62046,0.60578,0.99615,0.000123941,0.000123941,0.000123941
189,18758,0.27076,0.22293,0.81015,0.95612,0.92874,0.9721,0.90682,0.61427,0.60558,0.99196,0.00011569,0.00011569,0.00011569
190,18853.9,0.27876,0.22575,0.80999,0.95357,0.9259,0.9721,0.90659,0.61651,0.62455,0.98954,0.000107438,0.000107438,0.000107438
191,18942.2,0.26188,0.21252,0.80229,0.94451,0.93448,0.97127,0.90367,0.62581,0.60107,0.99248,9.91865e-05,9.91865e-05,9.91865e-05
192,19030.5,0.26778,0.21331,0.7989,0.95051,0.92775,0.97137,0.90066,0.62251,0.57085,0.9986,9.09349e-05,9.09349e-05,9.09349e-05
193,19118.8,0.25891,0.20691,0.79328,0.94417,0.93476,0.97143,0.89942,0.61816,0.56853,0.9934,8.26832e-05,8.26832e-05,8.26832e-05
194,19207.5,0.25279,0.20379,0.79812,0.96119,0.92176,0.97069,0.89941,0.61856,0.58098,0.99202,7.44316e-05,7.44316e-05,7.44316e-05
195,19296.5,0.256,0.20789,0.79236,0.96154,0.92122,0.97097,0.8997,0.62244,0.58391,0.99452,6.61799e-05,6.61799e-05,6.61799e-05
196,19385.5,0.24359,0.20159,0.79189,0.95835,0.92209,0.97165,0.90205,0.61423,0.58459,0.99136,5.79283e-05,5.79283e-05,5.79283e-05
197,19475.1,0.25019,0.20199,0.79609,0.95133,0.93075,0.97192,0.90329,0.61157,0.58235,0.98837,4.96766e-05,4.96766e-05,4.96766e-05
198,19563.9,0.23611,0.19323,0.79449,0.95228,0.92518,0.97074,0.90281,0.61261,0.59558,0.98887,4.1425e-05,4.1425e-05,4.1425e-05
199,19653.4,0.24148,0.19972,0.7917,0.95824,0.92205,0.9704,0.90248,0.61151,0.60558,0.99009,3.31733e-05,3.31733e-05,3.31733e-05
200,19743.1,0.24408,0.19924,0.79492,0.95565,0.92325,0.97045,0.9026,0.60923,0.59672,0.98895,2.49217e-05,2.49217e-05,2.49217e-05
