epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.563,1.18809,1.85976,1.51154,0.93166,0.39662,0.74931,0.36561,1.31767,2.82634,1.88949,0.000655172,0.000655172,0.000655172
2,381.991,1.28866,1.60301,1.55545,0.57162,0.54614,0.56157,0.24857,1.513,2.49814,2.28066,0.0013153,0.0013153,0.0013153
3,568.141,1.33554,1.48815,1.56811,0.12763,0.26731,0.12052,0.04317,1.95563,2.91068,2.68636,0.00196882,0.00196882,0.00196882
4,753.636,1.35014,1.37315,1.59794,0.29199,0.22785,0.19653,0.08447,2.71982,3.57439,3.15352,0.0019703,0.0019703,0.0019703
5,941.093,1.40009,1.3234,1.62606,0.68578,0.5654,0.63351,0.27318,2.00177,1.72505,2.67518,0.0019604,0.0019604,0.0019604
6,1126.57,1.38794,1.28654,1.60988,0.47591,0.59072,0.53634,0.28169,1.57222,1.84712,2.17023,0.0019505,0.0019505,0.0019505
7,1312.28,1.35898,1.24258,1.5637,0.80058,0.66667,0.76111,0.39248,1.73094,1.49144,2.18751,0.0019406,0.0019406,0.0019406
8,1499.44,1.31771,1.17883,1.54615,0.79721,0.71308,0.81685,0.47691,1.48883,1.32029,2.02953,0.0019307,0.0019307,0.0019307
9,1686.19,1.27017,1.12387,1.51297,0.68834,0.68776,0.75475,0.46687,1.55324,1.2808,2.05652,0.0019208,0.0019208,0.0019208
10,1873.47,1.26403,1.08097,1.50588,0.7943,0.8481,0.88828,0.49749,1.3819,1.12472,1.8622,0.0019109,0.0019109,0.0019109
11,2063.58,1.28801,1.12927,1.51418,0.82075,0.62025,0.74471,0.4122,1.63263,1.2976,2.39437,0.001901,0.001901,0.001901
